image,vehicles,pedestrians
./bdd100k/train/images/0000f77c-6257be58.jpg,3,0
./bdd100k/train/images/0000f77c-62c2a288.jpg,0,0
./bdd100k/train/images/0000f77c-cb820c98.jpg,5,0
./bdd100k/train/images/0001542f-5ce3cf52.jpg,3,0
./bdd100k/train/images/0001542f-7c670be8.jpg,0,0
./bdd100k/train/images/0001542f-ec815219.jpg,1,0
./bdd100k/train/images/0004974f-05e1c285.jpg,0,0
./bdd100k/train/images/00054602-3bf57337.jpg,5,1
./bdd100k/train/images/00067cfb-5443fe39.jpg,6,1
./bdd100k/train/images/00067cfb-5adfaaa7.jpg,6,0
./bdd100k/train/images/00067cfb-caba8a02.jpg,2,0
./bdd100k/train/images/00067cfb-e535423e.jpg,11,7
./bdd100k/train/images/00067cfb-f1b91e3c.jpg,9,0
./bdd100k/train/images/0008a165-c48f4b3e.jpg,9,0
./bdd100k/train/images/00091078-59817bb0.jpg,5,0
./bdd100k/train/images/00091078-7cff8ea6.jpg,6,0
./bdd100k/train/images/00091078-84635cf2.jpg,3,11
./bdd100k/train/images/00091078-875c1f73.jpg,5,0
./bdd100k/train/images/00091078-c1d32eea.jpg,6,1
./bdd100k/train/images/00091078-cedbfea7.jpg,3,0
./bdd100k/train/images/00091078-f32de4d2.jpg,5,0
./bdd100k/train/images/000d35d3-41990aa4.jpg,3,3
./bdd100k/train/images/000d4f89-3bcbe37a.jpg,2,0
./bdd100k/train/images/000e0252-8523a4a9.jpg,1,0
./bdd100k/train/images/000f157f-30b30f5e.jpg,3,0
./bdd100k/train/images/000f157f-37797ff9.jpg,4,0
./bdd100k/train/images/000f157f-dab3a407.jpg,13,2
./bdd100k/train/images/000f8d37-d4c09a0f.jpg,12,6
./bdd100k/train/images/0010bf16-9ee17cd9.jpg,5,0
./bdd100k/train/images/0010bf16-a457685b.jpg,4,0
./bdd100k/train/images/00131ea7-624f538d.jpg,4,2
./bdd100k/train/images/00134776-9123d227.jpg,5,0
./bdd100k/train/images/001bad4e-2fa8f3b6.jpg,7,1
./bdd100k/train/images/001c5339-08faca55.jpg,5,0
./bdd100k/train/images/001c5339-13a07470.jpg,6,0
./bdd100k/train/images/001c5339-9a6cdd3e.jpg,3,0
./bdd100k/train/images/00202076-7a95b4e3.jpg,2,0
./bdd100k/train/images/00202076-9eaa8e42.jpg,10,0
./bdd100k/train/images/00207869-046fa443.jpg,12,0
./bdd100k/train/images/00207869-902288d1.jpg,7,0
./bdd100k/train/images/00211b17-ad3e206b.jpg,0,1
./bdd100k/train/images/00225f53-4200bde2.jpg,11,0
./bdd100k/train/images/00225f53-67614580.jpg,8,3
./bdd100k/train/images/00232de3-19eca24a.jpg,6,0
./bdd100k/train/images/0024b742-83709bd4.jpg,4,0
./bdd100k/train/images/0024b742-acbed4fb.jpg,4,0
./bdd100k/train/images/002685b6-856c17f7.jpg,12,0
./bdd100k/train/images/00268999-0b20ef00.jpg,3,0
./bdd100k/train/images/00268999-9f6d5823.jpg,1,3
./bdd100k/train/images/00268999-a4b8e39d.jpg,1,0
./bdd100k/train/images/00268999-cb063914.jpg,7,0
./bdd100k/train/images/002827ad-8748e2fb.jpg,2,0
./bdd100k/train/images/0028cbbf-92f30408.jpg,7,0
./bdd100k/train/images/002ab96a-a96704f9.jpg,7,0
